Academic Year,Degree Type,Record Type,Count
2018-2019,CERTIFICATE,DEGREES,338
2018-2019,ASSOCIATE,DEGREES,18880
2018-2019,BACHELOR'S,DEGREES,27273
2018-2019,MASTER'S,DEGREES,8640
2018-2019,ADVANCED CERTIFICATE,DEGREES,1095
2018-2019,JD,DEGREES,165
2018-2019,MASTER'S OF PHILOSOPHY,DEGREES,248
2018-2019,DOCTORAL,DEGREES,500
2018-2019,TOTAL,DEGREES,57139
1966-1967,Certificate,Degrees,0
1966-1967,Associate,Degrees,4048
1966-1967,Baccalaureate,Degrees,10549
1966-1967,Master's,Degrees,2722
1966-1967,Advance Certificate,Degrees,161
1966-1967,J.D.,Degrees,0
1966-1967,Master of Philosophy,Degrees,0
1966-1967,PhD,Degrees,26
1966-1967,Total,Degrees,17506
1967-1968,Certificate,Degrees,0
1967-1968,Associate,Degrees,4284
1967-1968,Baccalaureate,Degrees,12051
1967-1968,Master's,Degrees,3152
1967-1968,Advance Certificate,Degrees,218
1967-1968,J.D.,Degrees,0
1967-1968,Master of Philosophy,Degrees,0
1967-1968,PhD,Degrees,48
1967-1968,Total,Degrees,19753
1968-1969,Certificate,Degrees,0
1968-1969,Associate,Degrees,5024
1968-1969,Baccalaureate,Degrees,12924
1968-1969,Master's,Degrees,3588
1968-1969,Advance Certificate,Degrees,136
1968-1969,J.D.,Degrees,0
1968-1969,Master of Philosophy,Degrees,0
1968-1969,PhD,Degrees,78
1968-1969,Total,Degrees,21750
1969-1970,Certificate,Degrees,0
1969-1970,Associate,Degrees,5667
1969-1970,Baccalaureate,Degrees,12658
1969-1970,Master's,Degrees,4371
1969-1970,Advance Certificate,Degrees,174
1969-1970,J.D.,Degrees,0
1969-1970,Master of Philosophy,Degrees,0
1969-1970,PhD,Degrees,90
1969-1970,Total,Degrees,22960
1970-1971,Certificate,Degrees,0
1970-1971,Associate,Degrees,6406
1970-1971,Baccalaureate,Degrees,13745
1970-1971,Master's,Degrees,5087
1970-1971,Advance Certificate,Degrees,223
1970-1971,J.D.,Degrees,0
1970-1971,Master of Philosophy,Degrees,0
1970-1971,PhD,Degrees,94
1970-1971,Total,Degrees,25555
1971-1972,Certificate,Degrees,0
1971-1972,Associate,Degrees,7315
1971-1972,Baccalaureate,Degrees,15324
1971-1972,Master's,Degrees,6001
1971-1972,Advance Certificate,Degrees,277
1971-1972,J.D.,Degrees,0
1971-1972,Master of Philosophy,Degrees,0
1971-1972,PhD,Degrees,135
1971-1972,Total,Degrees,29052
1972-1973,Certificate,Degrees,0
1972-1973,Associate,Degrees,8579
1972-1973,Baccalaureate,Degrees,15858
1972-1973,Master's,Degrees,6177
1972-1973,Advance Certificate,Degrees,307
1972-1973,J.D.,Degrees,0
1972-1973,Master of Philosophy,Degrees,0
